"Ulasan","Performa","Pemesanan","Pembayaran","Fitur","Tampilan","Umum"
"Proses pemesanan dan pembayaran cepat dan mudah","Negatif","","","","",""
"Aplikasi yang baru lemot parah","Negatif","","","","",""
"Beberapa hari terakhir jadi lambat banget proses pembayaran sama cek tiketnya, bisa sampai makan waktu 30 sampe 40 menit cuman utk beli tiket, sama 10 menit cmn buat buka e-tiket untung saya masih ke kejar keretanya","Negatif","","Negatif","","",""
"Setelah update saya tidak bisa masuk aplikasi, kalau memang masih perlu waktu development aplikasi jangan di release dahulu, pakai otp maupun email tetap belum bisa masuk ke aplikasi","Negatif","","","","",""
"Setelah update kok malah jadi busuk... Kembalikan ignatua jonan untuk reformasi KAI. Pejabat sekarang gak bisa kerja ya","Negatif","","","","",""
"lancar darimana nya, coba login sendiri deh","Negatif","","","","",""
"Kok sekarang malah jadi lemot aneh KAI access di uprgred malah makin parah..","Negatif","","","","",""
"Knp saya jadi tdk bisa memilih kursi? Btw saya pakai kereta antar kota","Negatif","Negatif","","","",""
"Verry good","Positif","","","","",""
"kenapa kualitasnya menurun padahal baru di update, saya mau pesan tiket ini mohon segera di perbaiki, saya dari tadi mau pesen kok ga bisa bisa","Negatif","Negatif","","","",""
"Tampilan yg sekarang bagus dan mudah, sangat nyaman","","","","","Positif",""
"Menurut ku nyebelin ya di saat lg promo tp server nge down jd gak bsa masuk","Negatif","","","","",""
"Lemot tidak bisa masuk padahal sedang mepet waktu naik kereta.....","Negatif","Negatif","","","",""
"TOLONGGGGGGGGG kecepatan aplikasinya ditingkatkan, jangan kayak sekarang masih lemot bangetttt","Negatif","","","","",""
"Lebih gampang aplikasi yg sebelumnya daripada ni.. Di upgrade malah kwalitasnya ðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘Ž","Konflik","","","","",""
"Tampilannya bagus, tapi saat mau masuk ke aplikasi lamanya mbuat emosi banget","","","","","Konflik",""
"Nggak jelas banget ni aplikasi, ketika di masukan email data nggak kedeteksi, padahal dulu udah daftat dan sering makai juga, tiba2 setelah di perbaharui data tidak terdeteksi oleh sistemnya. Udah tampilan biasa aja bermasalah pula, udah coba install ulang tetap aja kayak gitu. Bagusan yang sebelumnya, karena yang sekarang lebih ribet pula mesan tiketnya.","Negatif","Negatif","","","",""
"setelah tampilan di ganti otomatis,,knp ga bisa di bka ya,,utk tiket yg sudah saya pesan bln september tdk bisa di lihat kode boking nya,,mohon solusi nya","Negatif","Negatif","","","",""
"Setelah update yang terbaru tampilan oke, tapi kualitas menurun banget. Load lama pas buka app, atau pas mencet menu, pas mau ke pembayaran juga load lama banget, pembayarannya sempet gagal. Kita butuh cepet, simple, dan mudah. Ga butuh yang tampilan modern banget atau ala ala anak muda tapi performanya kurang gini apalagi buat yang kebutuhannya setiap hari.","Negatif","Negatif","","","",""
"Secara tampilan oke, masalah sistem jauh sama yang lama. Lemot banget min, kukira jaringan yg lemot ternyata bukan sampe restart hp berkali-kali Mau pesen malah jadi seribet ini. Mending yang lama","Negatif","","","","",""
"lebih buruk dari aplikasi sebelumnya, aplikasi baru walaupun tampilannya bagus, tapi sangat lamban dan sering error, kita yang butuh tiket cepat jd terhambat.","Negatif","Negatif","","","Konflik",""
"semenjak update jadi berat tampilan ui juga ga nyaman","Negatif","","","","",""
"Setelah update jadi lemot, untuk buka aplikasinya aja lamaa bgt, tampilan antarmukanya bagusan yang sebelumnya. Tolong di perbaiki","Negatif","","","","",""
"Setelah update malah gabisaÂ² masuk, memang dr segi tampilan makin oke tapi performanya makin buruk","Konflik","","","","Konflik",""
"Tampilan baru malah semakin buruk..semakin lemot!","Negatif","","","","",""
"Tampilan baru memang terlihat fresh, tapi ya ampun gak selama ini juga loadingnya dong","","","","","Konflik",""
"Menyebalkan, tampilan terbaru aplikasi jelek. Tiba2 log out, mau log in lagi susah, sudah dua kali instal ulang","Negatif","","","","",""
"aplikasi gajelas, udah bener kemaren, malah update, masuk kaga bisa, otp ga keluar keluar. bagus sih bagus tampilannya, tpi klo akun gbisa masuk buat apa?","Negatif","","","","",""
"Jadi ga ramah tampilan user interface nya","","","","","Negatif",""
"tampilan baru kirain aplikasi tambah bagus eh ternyata makin jelek, ga bisa login lagi katanya idnum already exist, kalo kayak gini gimana mau pesan tiketnya lagi?jadi ga guna aplikasinya","","Negatif","","","Konflik",""
"Tampilan emang have fun and youth. Fasilitas lebih banyak tapi masih belum berfungsi. Tapi namanya jadi tidak spesial. Orang lebih mudah mencari KAI dari pada Access. Nama Kai Access lebih keren dan spesial menunjukkan identitas aplikasi pesan tiket kereta api. Lah kalo ACCESS ini maknanya apa? Revamp ya revamp. Tapi gak jadi lebih aneh gitu. Jadi inget bikin stasiun tapi lupa buat jalan akses. Kan aneh. Mmm mungkin mau buat kayak LIVIN by mandiri","Negatif","Negatif","","","Positif",""
"Tampilan barunya malah bikin bingung","","","","","Negatif",""
"Tampilan Baru Dari KAI Access, Tampilan Yng User Frandly, Walau Masih Sedikit Bug, Semoga Dengan Tampilan Baru Lebih Satset dan Mudah Dalam Memesan Tiket, Dan Yang Paling Penting Banyak Metode Pembayrannya.","","Negatif","","","Konflik",""
"tampilan ok pemesanan cepat lgsung dapat","","Positif","","","Positif",""
"Lagi capek-capeknya idup liat ini tambah capek || Access by KAI Di update tampilannya malah bikin terkecohhðŸ˜®â€ðŸ’¨dikira masihh ada ternyata harus dibuka dulu biar bisa liat tiketnya masih ato uda abis ðŸ« lebih ribet ga sii menurutku ya.. Jangan di judge karna pendapat orang bedaÂ² ðŸ˜†","Negatif","Negatif","","","",""
"Update malah jadi gk jelas tampilanya. Logo tidak mencerminkan KAI(Kenapa yang digedin malah tulisan ACCESSnya daripada KAI ??). Tampilan pemilihan kereta jelek banget, ngikut2 OTA. Mending balikin yang lama aja kelihatan gede nama kereta & harganya.","Negatif","","","","",""
"Tampilan emang bagus. Tapi loading nya jadi lemot. Bagusan yang dulu min. Yang sekarang info makin lengkap tapi aplikasii makin lemot","Negatif","","","","Konflik",""
"Bagus sih ada beberapa bagian menu yg bukanya cepat. Tapi sering log out dan sulit masuk ke app lagi. Bahkan hari ini ter log out tp gak bisa log in lagi.Mungkin kedepannya ada opsi pembayaran Comuter selain pakai KAIPay. Mohon app nya segera diperbaiki.","Negatif","","","Positif","",""
"Sudah update bukannya makin bagus malah jadi semakin membuat emosi, saat pembayaran menggunakan e wallet jadi susah sekali, password ovo yang saya punya tidak bisa muncul dan dikatakan pembayaran gagal padahal saya sudah update ovo, kesel banget.... Lebih bagus kai access versi lama..","Negatif","","Negatif","","",""
"Fitur KAI pay ada scan qr tapi tidak berfungsi apa apa, tidak bisa untuk pembayaran scan qr. Saya yang salah atau aplikasinya yang salah ya, padahal ads saldo lumayan disitu, sisa dari pembelian tiket.","","Negatif","","Negatif","",""
"Aplikasi nggk banget, secara dulu waktu untuk pembayaran selama 10 Menit. Sekarang setelah di Update bukannya malah membaik malahan sering terjadi error ketika akan melakukan pembayaran, bahkan untuk waktunya sekarang di persingkat hanya 30 detik. Tidak worth it bagi pengguna Hp yang di rasa dengan proses loading yang cukup lama... ðŸ˜ŠðŸ˜„","Negatif","","Negatif","","",""
"Setelah diperbarui aplikasinya jadi lemot dan tidak bisa dipakai, mau masuk akun saja susah sekali dan pesan tiket pun susah sekali, mau bayar pakai QRIS gaga terus karna kode tidak terdeteksi.","Negatif","","","","",""
"Udah satu jam lebih beli tiket tapi muter trus loding. Kalo loding pembayaran nya jangan kasih waktu.. ulang lagi ulang lagi waktu kadaluarsa karena loding","Negatif","","Negatif","","",""
"Apk sering error aneh udah update malah rasanya kayak downgrade sering tidak bisa pembayaran melalui qris sering gagal udak top up dana, link aja, ovo, tetep tidak bisa aneh banget qris nya sering gagal sampe uang habis cuma buat top up apk"" tersebut tatapi tidak berguna. Sama apk nya lemot banget badahal sinyal kenceng hp juga spek lumayan. Aneh banget dah apk nya","Negatif","","Negatif","","",""
"Setelah update aplikasi kok malah tambah lemot...saya udh pesan tiket kereta dan udh saya bayar lunas,tpi kenapa ga ada tiket yg keluar di aplikasi ny??? Coba saya cek di histori pemesanan malah zonk ga ada tiket muncul.. Tolong aplikasiny disempurnakan,uang saya udh terlanjur masuk soalny","Negatif","Negatif","","","",""
"Aplikasi jelek,udah isi saldo buat beli tiket, udah masuk ke pembayaran ,saldonya kosong tiketnya gak ada,gimana siii","Negatif","","Negatif","","",""
"Cara bayarnya yg ribet ,dulu tinggal byar di link sekarang yg ada cm ovo sama qris","Negatif","","Negatif","","",""
"Ini knp kok gak bisa bayar pake link aja","","","Negatif","","",""
"Setelah di upgrade jd susah mesen tiketnya, sering pesan dengan metode pembayaran link aja ,pdhl di hp udah terpasang aplikasinya tp disuruh download","Negatif","Negatif","Negatif","","",""
"Habis update malah tambah lemot banget, mau pembayaran gabisaÂ² Lebih enak aplikasi sebelum update Kai acces gak asik","Negatif","","Negatif","","",""
"Kesulitan untuk pembayaran via QRIS. Padahal aplikasi sebelum di-update aman tanpa kendala. Error.","","","Negatif","","",""
"Maaf untuk update terbaru malah jadi lemot baik itu mau masuk home dan pencarian tiket serta pembayaran. Dan saya ketika sudah pesan tapi ternyata ke cancel sendiri","Negatif","","Negatif","","",""
"Struk dilogo abis di upgrate malah ngebug terus , lola banget , sedih banget sekalinya udah bisa pas mau bayar gabisa","Negatif","","","","",""
"Setelah update, aplikasi sering bermasalah. (1) Tidak bisa login ke aplikasi setelah pengisian kode otp karena selalu loading sehingga harus menunggu di block 1 jam karena terlalu sering masukkan kode otp (2) ingin melakukan pembayaran melalui QRIS namun kode QRIS tidak kunjung muncul sehingga tidak bisa bayar tiket (3) jenis kelamin sudah diubah namun setelah direfresh kembali lagi ke jenis kelamin yang salah (tertukar antara laki dan perempuan) untuk semua penumpang.","Negatif","Negatif","Negatif","","",""
"Aplikasinya susah dibuka...masa mau pesan tiket aja sekarang jadi susah banget utk dibuka....klo orang lagi butuh cepat gk kepake banget deh ....soalnya saya mau order, tapi selalu gagal log in","Negatif","","Negatif","","",""
"Berusaha buat ga update new version kai access tp malah otomatis update. Kesel bgt aslikk, lebih mudah digunakan aplikasi yg lama. Aplikasi dgn update terbaru terlalu lemot, pesan tiket terlalu banyak langkah. Maaf kai access â­1 dulu.","Negatif","","","","",""
"waktu pemesanan habis terus, pembayaran terganggu, aplikasi lemot, gak bisa ganti kursi penumpang. niat bikin aplikasi apa gak sih ? . email yang saya kirim segera di cek, disitu ada video kendalanya. jangan merespon seperti bot. PESAN TIKET KA LOKAL EROR. TOLONG PERBAIKI","Negatif","Negatif","","","","Negatif"
"Aplikasi di perbaruhi malah kayak sampah, nomer gerbong gak kliatan kan malah bikin runyam.. padahal pas pesan ada aneh aneh.. ini orang IT dev BUMN kog gini amat mempekerjakan manusia wkwkwk","Negatif","","","","",""
"Makin lemot, tambah di upgrade malah gak bs pesan tiket","Negatif","Negatif","","","",""
"Aplikasi semakin lambat,pas pesan tiket malah tidak bisa alias ada kesalahan.klo udh pake hospot br bisa ,tetap susah di bagian pembayaran ,apk yg dulu bisa pake link skr cuma ovo,dulu bisa pake spay,skrg kaga bisa.bintang 1 .mending pake apk yg lama saja","Negatif","","Negatif","","",""
"Apliksh yang terbaru ini susa. Untuk pesan tiket,di cek kursi ada tapi pas di klik,gak bsa2 buat pesan. Tlong di perbaiki lagi.","Negatif","Negatif","","","",""
"Mohon maaf bertanya tidak bisa upgrade.mhn pencerahan..bgm ini malah tidak bisa pesan tiket","Negatif","Negatif","","","",""
"Update semakin susah buat pesan tiket.","Negatif","Negatif","","","",""
"Baru di update malah tambah kacau ,lemot sering bug, pesan tiket lokal belum pernah berhasil, yg ada ""pesanan sudah kadaluarsa harus pesan lagi "" Begitu seterusnya","Negatif","Negatif","","","",""
"Aneh...lemot...mempersulit... Jadi sulit mau pesan tiketnya","Negatif","Negatif","","","",""
"Setelah update malah seperti kurang simpel,kalau mau lihat tiket yg tersedia harus klik dulu karena yg tertera hanya harga terendahnya tp blm tentu harga itu yg tersedia padahal di versi sebelumnya kita tinggal scroll saja,isian stasiun hrs isi ulang lg setelah keluar padahal diaplikasi sebelumnya tdk hilang,untuk pilihan antarkota dan lokal harus klik back dulu padahal sebelumnya tinggal klik disebelahnya saja..untuk pesan tiket jd makin lama krn banyak yg hrs di klik..","Negatif","Negatif","","","",""
"Aplikasi kok rumit merepotkan, mau pesan tiket mesti upgrade member basic, diipgrade sdh legkap informasinya gagal trs!","Negatif","Negatif","","","",""
"Tampilan baru tapi kualitan buruk syekali ,mau masuk aja susah gimna mau mesen tiket .. Gimana sih ? Ini kan mau plg kerja susah mana gak bisa beli karcis langsung ribet bgt deh","Negatif","Negatif","","","",""
"MANTAP deh.....ðŸ˜ðŸ‘ðŸ‘ðŸ‘ Tampilan baru bikin senam jantung 1 jam loading, padahal 1 jam kedepan harus naik kereta Akhirnya aplikasi tidak bisa di buka, masih loading & bisa masuk sebutkan nama ðŸ˜ðŸ‘ keren bingitttt Terimakasih sudah bikin SENAM JANTUNG... MERDEKA","Konflik","Negatif","","","",""
"Waduh ko malah jadi lemot gini dengan tampilan baru, tolong cepat di perbaiki aplikasi Access by KAI nya pak Direktur, mau pesen tiket aja Gagal terus gimana ini bisa bisa ga bisa naek kereta berangkat kerjanya.","Negatif","Negatif","","","",""
"Ternyata tidak sepenuhnya memudahkan proses boarding, tetap diminta KTP untuk pengecekan. Apa gunanya kita mengisi data pribadi saat buat akun kalo hanya bikin ribet cek KTP? Aplikasi tidak berguna...ðŸ¥±ðŸ¥± Tambahan tampilan juga bikin ribet kalo mau pilih kereta, beda dengan aplikasi sebelumnya, jadi menyesal upgrade ke Access kaiðŸ¥±ðŸ¥±","Negatif","","","","Negatif","Negatif"
"Wahh tampilan nya sekarang ok banget. Cuma sayang metode pembayaran masih dibatasi kartu debit mandiri sama OVO. Mohon tambahin dong ewallet Gopay dan DANA. Terus debit BRI, Mandiri, sama BCA.","","","Negatif","","Konflik",""
"Sejauh ini mudah digunakan dengan tampilan access baru, tapi tolong diperbaiki tampilan kai antarkota ngga bisa diklik dibagian bawahnya krn tampilannya ngga full dan aplikasi sering berhenti sendiri, terima kasih atensinya, mohon segera dilakukan perbaikan sehingga bisa pesan tiket antarkota dgn mudahðŸ™","","Negatif","","","Konflik",""
"Ki diupdate tampilan e nyar apik2 lakok ra kenek dibuka pye to ki min","Negatif","","","","",""
"SAYA GK SUKA TAMPILAN SEKARANG TAMPILAN SKRNG MALAH BIKIN RIWEH+ DIKIT"" SUKA KELUAR+LEMOTTT,TRS YG BIASANYA PESEN TIKET CPT SKRNG MALAH HARUS PENCET INI ITU DLU. PLEASE AYO BALIKIN TAMPILAN YANG KAYA DULUUUUU LAGII","","","","","Konflik",""
"tampilan lama lebih ramah terhadap pengguna","","","","","Netral",""
"Update aplikasi kok malah jd bikin susah, tampilannya bikin pusing tambah repot lg scan barcode qris ga bs di download terus.. masa harus pake 2 hp.. kecewaaa ðŸ˜“ðŸ˜“","Negatif","","","","Negatif",""
"Mohon maaf lebih bagus UI sebelumnya, UI sekarang bikin aplikasi lemot saat dibuka, butuh 1 menitan baru bisa masuk ke halaman home, mohon diperbaiki secepatnya, agar tidak mempersulit para penumpang ketika saat boarding di stasiun, terimakasih ðŸ™","","","","","Konflik",""
"Bagus lebih cepat lebih baik","Positif","","","","",""
"Tampilannya bagus, tapi saat mau masuk ke aplikasi lamanya mbuat emosi banget","Negatif","","","","Positif",""
"mantaap","","","","","","Positif"
"Secara tampilan oke, masalah sistem jauh sama yang lama. Lemot banget min, kukira jaringan yg lemot ternyata bukan sampe restart hp berkali-kali Mau pesen malah jadi seribet ini. Mending yang lama","Konflik","Netral","","","",""
"lebih buruk dari aplikasi sebelumnya, aplikasi baru walaupun tampilannya bagus, tapi sangat lamban dan sering error, kita yang butuh tiket cepat jd terhambat.","Negatif","Negatif","","","",""
"aplikasi buatan negri memang terbaik waktu buka aplikasinya juga cepet banget gak pakek loading terbaik emang buatan anak negeri","Positif","","","","","Positif"
"Ui ux elit, backend sulit","Negatif","","","Negatif","",""
"Ga bisa diapa""kan nih aplikasi wkwkwk.. buka aja syusah bagus penampilan, buruk dalamnya","Negatif","","","Negatif","Positif","Negatif"
"Yang baru lucu tapi lemot parah.","Negatif","","","","Positif",""
"Good Jobs","","","","","","Netral"
"Tampilan memang bagus setelah di update tetapi kulitas aplikasi lebih baik versi sebelumnya","Negatif","","","","Positif",""
"Sangat baik","Positif","","","","","Positif"
"Kini Versi Terbaru Access By KAI Jauh Lebih Baik Daripada Versi Sebelumnya, Lebih Modern Dan Colorful, Saran Saya Tambahkan Beberapa Fitur Lain Dan Perbaiki Beberapa Bug Yang Masih Ada, Maju Terus KAI!!","Netral","","","Negatif","","Netral"
"Tampilan jadi semakin bagus. sebelum di Update sering Lemot, setelah di Update untuk akses ke semua Fitur lancar jaya. Fitur untuk Commuter Line lebih lancar dibandingkan via aplikasi C Acces.","Negatif","","","","","Negatif"
"pakai aplikasi sangat membantu banget bisa mesan tiket dari jauh hari ðŸ˜ŠðŸ˜ŠðŸ˜Š","Positif","","","","","Positif"
"alhamdulilah beberapa kali perjalanan pesan tiket lewat apk ini lancar jaya tanpa ada kendala apapun. Dan di loket cekin cukup menunjukkan barkot di tiket online aja tanpa perlu mencerak/print dulu. Semoga semakin sukses KAI","Positif","","","Positif","",""
"Kereen","","","","","","Positif"
"Updateny bagus,tpi susah skrng dftr kaipayny, udah gitu byar pake kai juga susah","","","Negatif","Netral","",""
"penyegaran UI/UX nya sngt membantu sekali, teruss tingkatkan pelayanan dan pengembangan aplikasi, selalu terima masukan dri user jadikan bahan evaluasi agar lbih baik lgi.","","","","","","Negatif"
"Kerenn","","","","","","Positif"
"Memudahkan dalam traveling cepat juga pendukung buat yg suka travelling.","","","","","","Positif"
"Aplikasi mudah digunakan,gak ribet mau ganti jadwal pembatalan tiket cukup lewat aplikasi.","","","","","","Positif"
"Good","","","","","","Positif"
"Dapat pesan tiket sambil rebahanðŸ˜‚ , mudah pilih kursi sesuai seleraðŸ˜€","","","","","","Positif"
"Cepat,senyap,simpel......joooooooozzz berangkat..","","","","","","Positif"
"Aplikasi Ini KerenðŸ¤© Jadi Lebih Mudah Deh Pesan Tiket Untuk Bepergian , Semangat Sahabat KAIðŸ¤©","","","","","Positif","Positif"
"ini sudah beli tiket, di cek di akun kai access menu tiket tidak muncul, eror terus, tp kalau mau pesan dan pembayaran lancar..aplikasi kocak","Negatif","Positif","Positif","","",""
"Oke kok aplikasinya, semoga semakin ditingkatkan.","","","","","","Positif"
"Membantu sekali, manteb pokoknya","","","","","","Positif"
"The bestâ™¥ðŸ™","","","","","","Positif"
"Setelah update gak ada masalah, login aman, cek fitur lain aman, aplikasi nya lebih smooth. Padahal hpku kentang lho ðŸ¤£","Positif","","","Positif","Positif","Positif"
"Sudah sesuai harapan.","","","","","","Positif"
"Aplikasi lebih ringan , dan mudah untuk digunakan ,juga penambahan fiturnya lengkap","Positif","","","Positif","","Positif"
"Setelah update audah bisa aktivasi... Good job... ðŸ‘ðŸ‘","Positif","","","","","Positif"
"Update baru, memuaskan","Positif","","","","","Positif"
"Keren si ini, nyaman aplikasinya. Serig pesen tiket lewat pake aplikasi KAI acces","","Positif","","","","Positif"
"Mantap min, sudah bisa beli tiket commuter lewat kai acces makin mempermudah pengguna yeay, terimakasih ðŸ™ðŸ‘","","Positif","","","","Positif"
"Tampilan jauh lebih baik dengan fitur unggulan terbarunya yang menarik, thanks kai aplikasinya bagus dan lancar tdk ada trouble","Positif","","","Positif","Positif",""
"Thanks tampilan baru lebih intuitif","","","","","Positif",""
"Lebih mudah memakai aplikasi ini untuk pergi jauh dan tidak perlu repot2 ngntri lbh cepat jg","","","","","","Positif"
"Sepertinya ada yang keliru dalam pengaturan batas waktu pembayaran, Ketika akan melakukan pembayaran menggunakan KAI pay maupun QRIS LinkAja batas waktu pembayaran yang tertera 00:-51:00 sehingga memunculkan notifikasi error 'kadaluwarsa, waktu pemesanan anda telah habis' langsung setelah kami klik 'bayar' Mohon segera diperbaiki","Negatif","","","","",""
"Beli tiket KRL jangan cuma pakai KAI Pay dong, lebih baik pakai QRIS yang bisa semua bank, jadi nggak perlu top up ewallet baru lagi","Negatif","","","","",""
"Terpercaya","","","","","","Positif"
"Bagus lancar.","","","","","","Positif"
"KAI PANCEN OKE...","","","","","","Positif"
"Cukup membantu dalam mencari informasi mengenai jadwal KA dan promo","","","","Positif","","Positif"
"Terimakasih apk nya sangat membantu ðŸ¤©","","","","","","Positif"
"Bagus lancar dan pemuda kita untuk pesan tiket","","Positif","","","","Positif"
"Terima kasih, akhirnya bisa terupdate juga, tampilan UI nya mengkeren dari sebelumnya ðŸ‘","Positif","","","","","Positif"
"Aplikasinya sdh bagus hanya saja saat pilih kursi tdk akses pakai pembaca layar talk back buat tuna netra Kala pilih kursi masih bagus aplikasi lama tampilan pilih kursi tersedia atau terisinya","Negatif","","","Negatif","","Positif"
"Sementara saya kasih bintang 2, apknya memang udah good nice. Akan tetapi saat pembayarannya rada ribet. Mohon dong E-wallet spt GoPay dan Dana diadakan dong, sehingga saat pembayarannya tidak ribet. Terus E-Banking, pada saat transaksi ada kendala juga. Mohon ditingkatkan layanannya, sehingga konsumen nyaman.","Negatif","","Negatif","","",""
"Update terbarunya keren makin simple dan satset udah ada semua","Positif","","","","","Positif"
"Memudahkan konsumen,menyingkat waktu","","","","","","Positif"
"Sangat memudahkan alkamdulillah","","","","","","Positif"
"Bagus nih, tampilan enak diliat, tapi di gua gak lemot kok tampilannya, enteng juga apk nya ga berat","Positif","","","","Positif","Positif"
"Nicee","","","","","","Positif"
"Solusi pembelian tiket kereta api yang mudah","","","Positif","","",""
"Behhhhh mantap,kalo bisa ada fitur yang bisa ngecek jalur nya bisa kek stasiun apa ajah kaya,serang bisa jalur stasiun Cilegon,pasir putih dhh kek gitu lah","","","","","","Positif"
"Udah update access by KAI, selama ini lancar - lancar saja","","","","","","Positif"
"Sangat menarik dari sisi tampilan dan lebih akurat dalam menyampaikan informasi Perjalanan kereta api, ini juga lebih cepat apknya berjalan","","","","","","Positif"
"Mantap","","","","","","Positif"
"alhamdulillah jd lebih mudah... lancar, dulu susah banget kl mau hapus email (akun) krn sdh tdk aktif, skrg kl mau ganti nomer caranya udh gampang bgt. sukaaa","Positif","","","Positif","","Positif"
"Update besar2an aplikasi KAI semakin bagus, respon cepat dan UI keren. Cuma ada kekurangan yaitu metode pembayaran e wallet cuma ada opsi OVO, mungkin kedepan bisa ditambahkan wallet lain seperti gopay, shopeepay, dana atau virtual account.","Positif","","","","",""
"Fitur menjadi lengkap namun sangat sulit untuk mengoprasikan. Fitur jadi tambah ribet gak efisien, masih enak apk sebelum update. Gak ada fitur filter nama kereta, tampilan jadi buruk banget, lemot banget, jadi gak fokus apk khusus KAI.","Positif","","","Negatif","Negatif",""
"Banyak fitur menjadi satu, ini baru keren. (Ka Jarak Jauh, Ka Lokal, Ka Bandara, Commuter Line) Mantap.","","","","","","Positif"
"Sangat membantu aktifitas kerja dan jadi lebih efisien karena tdk butuh waktu lama untuk pesan tiket semakin lancarjg","","Positif","","","","Positif"
"Bagus ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»","","","","","","Positif"
"Pelayanan mudah dipahami","","","","","","Positif"
"Setelah update tampilan lebih colourfull lebih lengkap bahkan jadwal commuterline..suka dg versi baru kai performnya meningkt jadi lebih cepet","Positif","","","","Positif",""
"Keren dengan UI yang baru, yg aq rassa diapk dulu untuk fitur rencana perjalanan lama saat loadnya buat skarang sudah lancar semua","Positif","","","","",""
"Mantap","","","","","","Positif"
"Nah, akhirnya setelah server diperbaiki, sekarang kuenceng. Terima kasih KAI","","","","","","Positif"
"Ini UI di update terbaru sangan menyenangkan, ada KA Lokal, Antar kota, KA bandara dan komputer yg terpisah menunya. Jadi kebih mudah, cepat dan juga railfood ðŸ¥°ðŸ¥°","","","","Positif","","Positif"
"Updatean malah jadi kek Tokopedia. Secara visual lebih baik tapi secara keseluruhan aplikasi yang lama keknya lebih baik.","","","","","Positif","Negatif"
"Mantap terimakasih","","","","","","Positif"
"Tampilan baru memang terlihat fresh, tapi ya ampun gak selama ini juga loadingnya dong","Negatif","","","","Positif",""
"Sebenarnya tampilan ini lebih fresh, cuman kalo yg kemarin lebih mudah dan efisien. Kenapa fitur yg seperti kemarin dihilangkan, seperti filter yg dulu lebih variatif dan bisa dipilih sekaligus 2 atau lebih. Sekarang cuman bisa satu saja. Tp overall bagus dan lancar jg","Negatif","","","Negatif","Positif","Konflik"
"Keren jg update yg terbaru","","","","","","Positif"
"Mantab","","","","","","Positif"
"Bagus sihh tpi waktu transaksi gagal uang saya tidak dikembalikan padahal di pemberitahuannya dikembalikan kecewa bgt siii","","Negatif","","","",""
"aplikasi ini bagus, cm kurangnya ketika ingin mencari hotel, belum bisa memilih semua bintang hotel.","","","","","","Konflik"
"Bagus sekali tapi suka loading","Konflik","","","","",""
"Aplikasi update terbaru bagus, tp Saran q baikny harga2 tiket yg sdh habis terjual, d taruh paling bawah seperti aplikasi sebelumnya supaya gx bingung. Klu skrang d kirain msh ada tiketny, ternyata zonk.","Positif","","","Negatif","",""
"update nya bagus, tapi lebih bagus lagi kalau ada tema warna gelap...","Positif","","","","Negatif",""
"Lumayan membantu membeli tiket kereta api tanpa admin huhuðŸ”¥ðŸ”¥ lancar jg tdk ada kendala saat melakukan pemesanan, update membernya kok susah min oadahal datanya sudah sesuai bagus yg sebelumnya, padahaka sblmnya udah banyak banget pesen tiketnya","Konflik","Positif","","","",""
"Praktis","Positif","","","","",""
"Ktk kubuka pertama kali Access by KAI, aku mau pesan tiket JTB-GMR klas Exc ternyata ada tambahan Assuransi yg hrs dipilih, maka aku urung pesan, kecuali Assuransi itu wajib dr pemerintah bukan swasta.","","Negatif","","","",""
"Mantap,sudah bisa dan sukses selalu","","","","","","Positif"
"Bagus sekali","","","","","","Positif"
"Saya senang dengan pembaruan aplikasi ini. Karena di aplikasi KAI accesa saat ini saya bisa melakukan update no hp. Karena di aplikasi sebelumnya tidak bisa dan sering gagal. Di tambah fiturÂ² terbaru nya yg sangat membantu pengguna nya. Buat performanya juga makin canggih dan makin cepet","Positif","Positif","","Positif","",""
"Aplikasi Bagus ,Aplikasi Ini Sangat Membantu Para Travel Khusunya Yang Menggunakan Jalur Kereta Api.","","","","","","Positif"
"LANCARR DI HP ku tapi dg spek lumayan tinggi lo, gatau kok orang-orang bilanylemot banget tapi di aku lancar. Banyak promo hotel jug","Positif","","","","","Positif"
"Terlalu bnyak menu semakin lemot aplikasinya....","Negatif","","","","","Negatif"
"Sangat bermanfaat mudah sekali untuk memesan tiket kereta dibanding pake apk tiket online yang lain","","Positif","","","","Positif"
"Aplikasinya mempermudah dan bagus","","","","","Positif","Positif"
"Untuk aplikasi KAI access yg lama, untuk UI tbh simple dan kesannya B aja. Untuk KAI access versi baru, bagus banget UI-nya. Tapi biarpun UI-nya bagus dan fitur2nya banyak tidak perlu waktu lama untuk loading-nya. Mantap kai UI-nya bagus & simple tapi juga ngga berat. Tq","Konflik","","","","",""
"Apk nya ngebantu bangettt apalagi kalo misalkan lagi butuh cepettt tiket kereta, ditambah lagi bisa order makanan via apk juga","Positif","","","Positif","",""
"kualitasnya lebih baik untuk baru di update, saya mau pesan tiket juga makin mudah sudah tidak eror dan lemot","Positif","","","","","Positif"
"Updetan versi terbaru bner2 makin bagus deh dah gaLemot banget, sanagat memudhakan daripada versi lama","Positif","","","","","Positif"
"Setelah diupdate , aplikasinya makin lancar ga lemot","Positif","","","","",""
